> Initialized logger
>  * Debugger is active!
>  * Debugger PIN: 456-115-780
>  * Running on http://0.0.0.0:80/ (Press CTRL+C to quit)
> 127.0.0.1 - - [09/Dec/2018 23:45:35] "GET /monitoring/1/ HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 23:45:36] "GET /static/css/bootstrap-responsive.css HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 23:45:36] "GET /static/css/bootstrap.min.css HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 23:45:37] "GET /static/css/eyecon-datepicker.css HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 23:45:37] "GET /static/images/loading.gif HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 23:45:37] "GET /static/js/jquery.js HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 23:45:37] "GET /static/img/glyphicons-halflings.png HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 23:45:37] "GET /static/js/eyecon-datepicker.js HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 23:45:37] "GET /static/js/bootstrap.min.js HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 23:45:38] "GET /static/favicon.ico HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 23:45:38] "GET /static/images/bar.png HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 23:47:12] "GET /monitoring/1/ HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 23:47:12] "GET /static/favicon.ico HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 23:47:15] "GET /detect/1 HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 23:47:32] "GET /timeline/2 HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 23:47:32] "GET /static/css/iThing-min.css HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 23:47:32] "GET /static/js/jquery-ui-1.10.3.custom.min.js HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 23:47:32] "GET /static/js/jQDateRangeSlider-min.js HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 23:47:46] "GET /detect/1 HTTP/1.1" 200 -
>  * Detected change in 'C:\\Users\\gherz-PC\\Desktop\\remidiv2\\serveus\\views.py', reloading
