> Initialized logger
>  * Debugger is active!
>  * Debugger PIN: 456-115-780
>  * Running on http://0.0.0.0:80/ (Press CTRL+C to quit)
> 127.0.0.1 - - [09/Dec/2018 22:22:06] "GET / HTTP/1.1" 302 -
> 127.0.0.1 - - [09/Dec/2018 22:22:07] "GET /monitoring/1 HTTP/1.1" 301 -
> 127.0.0.1 - - [09/Dec/2018 22:22:08] "GET /monitoring/1/ HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 22:22:10] "GET /static/images/loading.gif HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 22:22:10] "GET /static/css/bootstrap-responsive.css HTTP/1.1" 304 -
> 127.0.0.1 - - [09/Dec/2018 22:22:10] "GET /static/css/eyecon-datepicker.css HTTP/1.1" 304 -
> 127.0.0.1 - - [09/Dec/2018 22:22:10] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 -
> 127.0.0.1 - - [09/Dec/2018 22:22:10] "GET /static/js/bootstrap.min.js HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 22:22:11] "GET /static/js/jquery.js HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 22:22:11] "GET /static/js/eyecon-datepicker.js HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 22:22:11] "GET /static/img/glyphicons-halflings.png HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 22:22:11] "GET /static/images/bar.png HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 22:22:26] "GET /monitoring/1/ HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 22:22:27] "GET /static/favicon.ico HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 22:23:32] "GET /records/1 HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 22:23:35] "GET /case/2/ HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 22:23:35] "GET /thumb/pic/9 HTTP/1.1" 301 -
> 127.0.0.1 - - [09/Dec/2018 22:23:35] "GET /thumb/pic/16 HTTP/1.1" 301 -
> 127.0.0.1 - - [09/Dec/2018 22:23:35] "GET /thumb/pic/15 HTTP/1.1" 301 -
> 127.0.0.1 - - [09/Dec/2018 22:23:35] "GET /thumb/pic/11 HTTP/1.1" 301 -
> 127.0.0.1 - - [09/Dec/2018 22:23:35] "GET /thumb/pic/10 HTTP/1.1" 301 -
> 127.0.0.1 - - [09/Dec/2018 22:23:35] "GET /thumb/pic/12 HTTP/1.1" 301 -
> 127.0.0.1 - - [09/Dec/2018 22:23:36] "GET /thumb/pic/13 HTTP/1.1" 301 -
> 127.0.0.1 - - [09/Dec/2018 22:23:36] "GET /thumb/pic/12/ HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 22:23:36] "GET /thumb/pic/15/ HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 22:23:36] "GET /thumb/pic/10/ HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 22:23:36] "GET /thumb/pic/11/ HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 22:23:36] "GET /thumb/pic/16/ HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 22:23:36] "GET /thumb/pic/13/ HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 22:23:37] "GET /thumb/pic/14 HTTP/1.1" 301 -
> 127.0.0.1 - - [09/Dec/2018 22:23:37] "GET /thumb/pic/9/ HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 22:23:37] "GET /thumb/pic/14/ HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 22:23:50] "GET /pic/9 HTTP/1.1" 301 -
> 127.0.0.1 - - [09/Dec/2018 22:23:50] "GET /pic/9/ HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 22:23:55] "POST /case/2/ HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 22:30:06] "GET /records/1 HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 22:30:09] "GET /case/2/ HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 22:30:13] "GET /records/1 HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 22:30:13] "GET /static/favicon.ico HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 22:30:28] "GET /records/1 HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 22:30:28] "GET /static/favicon.ico HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 22:30:29] "GET /records/1 HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 22:30:29] "GET /static/favicon.ico HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 22:30:34] "GET / HTTP/1.1" 302 -
> 127.0.0.1 - - [09/Dec/2018 22:30:34] "GET /monitoring/1/ HTTP/1.1" 200 -
