> Initialized logger
>  * Debugger is active!
>  * Debugger PIN: 456-115-780
>  * Running on http://0.0.0.0:80/ (Press CTRL+C to quit)
> 127.0.0.1 - - [09/Dec/2018 23:23:10] "GET /detect/ HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 23:23:11] "GET /static/favicon.ico HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 23:25:15] "GET /detect/ HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 23:25:15] "GET /static/css/bootstrap.min.css HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 23:25:15] "GET /static/css/bootstrap-responsive.css HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 23:25:15] "GET /static/css/eyecon-datepicker.css HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 23:25:16] "GET /static/img/glyphicons-halflings.png HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 23:25:16] "GET /static/favicon.ico HTTP/1.1" 200 -
> 127.0.0.1 - - [09/Dec/2018 23:25:57] "GET /detect/monitoring HTTP/1.1" 404 -
> 127.0.0.1 - - [09/Dec/2018 23:25:58] "GET /favicon.ico HTTP/1.1" 404 -
>  * Detected change in 'C:\\Users\\gherz-PC\\Desktop\\remidiv2\\serveus\\views.py', reloading
