> Initialized logger
>  * Debugger is active!
>  * Debugger PIN: 456-115-780
>  * Running on http://0.0.0.0:80/ (Press CTRL+C to quit)
> 192.168.137.216 - - [03/Feb/2019 17:18:35] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 17:18:51] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 17:25:10] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 17:26:12] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 17:26:25] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 17:26:33] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 17:26:36] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 17:26:38] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 17:27:29] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 17:29:23] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 17:30:50] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 17:32:21] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 17:33:04] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 17:37:21] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 17:39:46] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 17:41:27] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 17:42:02] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 17:43:35] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 17:56:27] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 17:56:58] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 17:57:28] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 17:57:33] "POST /api/db/ HTTP/1.1" 200 -
>  * Detected change in 'C:\\Users\\gherz-PC\\Desktop\\remidiv2\\serveus\\views.py', reloading
