> Initialized logger
>  * Debugger is active!
>  * Debugger PIN: 456-115-780
>  * Running on http://0.0.0.0:80/ (Press CTRL+C to quit)
> 127.0.0.1 - - [03/Feb/2019 15:07:15] "GET / HTTP/1.1" 302 -
> 127.0.0.1 - - [03/Feb/2019 15:07:17] "GET /records/1 HTTP/1.1" 200 -
> 127.0.0.1 - - [03/Feb/2019 15:07:17] "GET /records/1 HTTP/1.1" 200 -
> 127.0.0.1 - - [03/Feb/2019 15:07:20] "GET /static/css/bootstrap-responsive.css HTTP/1.1" 200 -
> 127.0.0.1 - - [03/Feb/2019 15:07:20] "GET /static/css/eyecon-datepicker.css HTTP/1.1" 200 -
> 127.0.0.1 - - [03/Feb/2019 15:07:20] "GET /static/css/bootstrap.min.css HTTP/1.1" 200 -
> 127.0.0.1 - - [03/Feb/2019 15:07:20] "GET /static/js/eyecon-datepicker.js HTTP/1.1" 200 -
> 127.0.0.1 - - [03/Feb/2019 15:07:20] "GET /static/js/jquery.js HTTP/1.1" 200 -
> 127.0.0.1 - - [03/Feb/2019 15:07:21] "GET /static/js/bootstrap.min.js HTTP/1.1" 200 -
> 127.0.0.1 - - [03/Feb/2019 15:07:21] "GET /static/img/glyphicons-halflings.png HTTP/1.1" 200 -
> 127.0.0.1 - - [03/Feb/2019 15:07:23] "GET /static/favicon.ico HTTP/1.1" 200 -
