> Initialized logger
>  * Debugger is active!
>  * Debugger PIN: 456-115-780
>  * Running on http://0.0.0.0:80/ (Press CTRL+C to quit)
> 192.168.137.216 - - [03/Feb/2019 21:42:31] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 21:42:32] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 21:42:33] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 21:42:34] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 21:42:35] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 21:42:36] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 21:42:37] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 21:42:39] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 21:42:40] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 21:42:41] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 21:42:43] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 21:42:45] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 21:42:48] "POST /api/chunk/ HTTP/1.1" 200 -
> 127.0.0.1 - - [03/Feb/2019 21:42:48] "GET /records/1 HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 21:42:50] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 21:42:51] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 21:42:52] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 21:42:54] "POST /api/chunk/ HTTP/1.1" 200 -
> 127.0.0.1 - - [03/Feb/2019 21:42:54] "GET /static/favicon.ico HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 21:42:57] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 21:43:00] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 21:43:03] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 21:43:04] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 21:43:05] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 21:43:06] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 21:43:07] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 21:43:09] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 21:43:10] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 21:43:10] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 21:43:10] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 21:43:11] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 21:43:11] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 21:43:11] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 21:43:11] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 21:43:11] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 21:43:11] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 21:43:11] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 21:43:11] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 21:43:11] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 21:43:11] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 21:43:12] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 21:43:12] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 21:43:12] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 21:43:12] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.216 - - [03/Feb/2019 21:43:12] "POST /api/chunk/ HTTP/1.1" 200 -
