> Initialized logger
>  * Debugger is active!
>  * Debugger PIN: 456-115-780
>  * Running on http://0.0.0.0:80/ (Press CTRL+C to quit)
> 192.168.137.52 - - [05/Feb/2019 00:00:03] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:00:03] "POST /api/db/ HTTP/1.1" 200 -
> 127.0.0.1 - - [05/Feb/2019 00:00:54] "GET /records/1 HTTP/1.1" 200 -
> 127.0.0.1 - - [05/Feb/2019 00:00:56] "GET /static/favicon.ico HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:11] "POST /api/init/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:12] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:12] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:12] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:13] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:13] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:13] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:13] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:13] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:14] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:14] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:14] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:15] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:15] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:15] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:15] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:16] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:16] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:16] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:16] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:17] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:17] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:17] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:17] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:18] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:18] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:19] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:19] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:19] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:20] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:20] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:21] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:21] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:21] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:21] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:22] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:22] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:22] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:22] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:23] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:23] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:23] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:24] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:24] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:24] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:24] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:25] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:25] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:26] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:26] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:26] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:26] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:27] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:27] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:27] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:28] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:28] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:28] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:29] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:29] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:30] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:30] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:31] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:31] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:31] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:32] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:32] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:32] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:33] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:34] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:35] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:35] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:35] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:36] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:36] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:36] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:37] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:37] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:37] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:38] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:38] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:38] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:39] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:39] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:39] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:40] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:40] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:40] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:40] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:41] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:41] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:42] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:42] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:42] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:43] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:43] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:43] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:44] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:44] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:45] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:46] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:47] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:48] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:49] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:50] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:51] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:51] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:52] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:53] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:53] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:54] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:54] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:55] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:55] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:56] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:57] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:57] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:58] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:58] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:58] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:59] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:59] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:01:59] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:02:00] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:02:00] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:02:01] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:02:01] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:02:02] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:02:02] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:02:02] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:02:03] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:02:03] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:02:04] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:02:04] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:02:04] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.52 - - [05/Feb/2019 00:02:05] "POST /api/chunk/ HTTP/1.1" 200 -
